,Grouping,name,score,binary-artifacts,branch-protection,ci-tests,cii-best-practices,code-review,contributors,dangerous-workflow,dependency-update-tool,fuzzing,license,maintained,packaging,pinned-dependencies,sast,security-policy,signed-releases,token-permissions,vulnerabilities
180,Google,github.com/google/oss-fuzz,6.7,5,8,10,2,10,10,10,0,10,10,10,-1,0,3,10,-1,0,10
181,Google,github.com/google/alertmanager-irc-relay,4.2,10,0,10,0,0,0,10,0,0,10,0,-1,7,0,10,-1,0,10
182,Google,github.com/google/pasta,4.4,10,0,4,0,2,6,10,0,0,10,0,-1,9,0,10,-1,0,10
183,Google,github.com/google/quark,5.4,10,0,0,0,6,0,10,0,0,10,0,-1,10,0,10,-1,10,10
184,Google,github.com/google/nanopb-cpputest-comparators,5.3,10,0,0,0,5,0,10,0,0,10,0,-1,10,0,10,-1,10,10
185,Google,github.com/google/spirv-tutor,5.0,10,0,-1,0,0,0,10,0,0,10,0,-1,10,0,10,-1,10,10
186,Google,github.com/google/vim-selector,5.5,10,0,10,0,4,3,10,0,0,10,0,-1,10,0,10,-1,10,10
187,Google,github.com/google/gae-secure-scaffold-python3,5.0,10,0,0,0,0,6,10,0,0,10,0,-1,10,0,10,-1,10,10
188,Google,github.com/google/breadboard,5.3,10,0,-1,0,3,3,10,0,0,10,0,-1,10,0,10,-1,10,10
189,Google,github.com/google/statechart,5.5,10,0,0,0,8,0,10,0,0,10,0,-1,10,0,10,-1,10,10
190,Google,github.com/google/dagger,5.6,0,3,10,0,10,10,10,0,0,10,10,-1,9,0,10,-1,0,10
191,Google,github.com/google/lvmd,5.1,10,0,0,0,3,6,10,0,0,10,0,-1,7,0,10,-1,10,10
192,Google,github.com/google/osqp-cpp,5.3,10,3,8,0,7,10,10,0,0,10,0,-1,9,0,10,-1,0,10
193,Google,github.com/google/skywater-pdk-libs-sky130_fd_sc_hvl,5.5,10,3,-1,0,0,10,10,0,0,10,0,-1,10,0,10,-1,10,10
194,Google,github.com/google/videotts,5.0,10,0,-1,0,0,0,10,0,0,10,0,-1,10,0,10,-1,10,10
195,Google,github.com/google/cld3,4.9,10,0,5,0,8,10,10,0,0,10,0,-1,7,0,10,-1,0,10
196,Google,github.com/google/semantic-locators,5.9,10,3,8,0,7,6,10,0,0,10,4,-1,10,7,10,-1,0,10
197,Google,github.com/google/chrome-media-audio-papers,5.0,10,0,-1,0,0,0,10,0,0,10,0,-1,10,0,10,-1,10,10
198,Google,github.com/google/page-timer,5.1,10,0,-1,0,0,3,10,0,0,10,0,-1,10,0,10,-1,10,10
199,Google,github.com/google/vogon,5.2,10,0,0,0,3,3,10,0,0,10,0,-1,10,0,10,-1,10,10
200,Google,github.com/google/dwh-assessment-extraction-tool,6.2,10,6,0,0,10,6,10,0,0,10,4,-1,10,0,10,0,10,10
201,Google,github.com/google/talos-dv360,5.0,10,0,-1,0,0,0,10,0,0,10,0,-1,10,0,10,-1,10,10
202,Google,github.com/google/protodatastore-cpp,5.1,10,0,0,0,2,3,10,0,0,10,0,-1,10,0,10,-1,10,10
203,Google,github.com/google/exposure-notifications-server,6.4,10,8,10,0,10,10,10,0,0,10,7,-1,5,0,10,-1,0,10
204,Google,github.com/google/badwolf,5.3,10,0,10,0,9,10,10,0,0,10,0,-1,9,0,10,-1,0,10
205,Google,github.com/google/java-video-live-stream,5.0,10,0,-1,0,0,3,10,10,0,10,0,-1,9,0,10,-1,0,10
206,Google,github.com/google/ads-account-structure-script,5.0,10,0,-1,0,0,0,10,0,0,10,0,-1,10,0,10,-1,10,10
207,Google,github.com/google/opuscpp,5.0,10,0,-1,0,0,0,10,0,0,10,0,-1,10,0,10,-1,10,10
208,Google,github.com/google/gops,5.8,10,3,10,0,6,10,10,0,0,10,7,-1,9,0,10,-1,0,10
209,Google,github.com/google/gemmlowp,5.7,10,0,4,0,6,10,10,0,0,10,0,-1,10,0,10,-1,10,10
210,Google,github.com/google/mirror-branch-action,4.4,10,0,0,0,2,10,10,0,0,10,0,-1,9,0,10,-1,0,10
211,Google,github.com/google/icing-search,4.7,10,0,-1,0,0,0,10,0,0,0,0,-1,10,0,10,-1,10,10
212,Google,github.com/google/ExoPlayer,6.6,9,0,0,0,9,10,10,0,0,10,10,-1,10,0,10,-1,10,10
213,Google,github.com/google/catnip,5.0,10,0,-1,0,0,0,10,0,0,10,0,-1,10,0,10,-1,10,10
214,Google,github.com/google/s2-geometry-library-java,5.2,10,0,0,0,3,3,10,0,0,10,0,-1,10,0,10,-1,10,10
215,Google,github.com/google/dtraceStacksToPprof,5.2,10,3,-1,0,0,0,10,0,0,10,0,-1,10,0,10,-1,10,10
216,Google,github.com/google/decoder-benchmarks-for-rust,5.0,10,0,-1,0,0,0,10,0,0,10,0,-1,10,0,10,-1,10,10
217,Google,github.com/google/zetasketch,5.4,9,0,0,0,7,0,10,0,0,10,0,-1,10,0,10,-1,10,10
218,Google,github.com/google/python-cloud-utils,4.9,10,0,0,0,1,0,10,0,0,10,0,-1,10,0,10,-1,10,10
